,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,,
29,海南廖孝炳,08月29日 01:04,//weibo.com/5652189783/M3bT0DKwd?refer_flag=1001030103_,【#重庆人送别消防员横幅有多浪漫#】#消防员视角沉浸式感受离别场面# “欢迎留下组一家，以后你打山火我送冰糕”“重庆山美水美人更美，退伍回来把家安”，重庆市民夹道送别云南森林消防队员，现场两侧的横幅，就是重庆人的浪漫！为英雄点赞！@稀有血型牛牛 （云南森林消防） L新华社的微博视频 ??? 2海口·国新书苑 收起d,yellow,0,0,0,158,
30,小濛芽-wm,08月29日 01:01,//weibo.com/7741549758/M3bROuOJt?refer_flag=1001030103_,#思源驰援重庆山火# 涓滴之水成海洋，颗颗爱心变希望。我在“思源驰援重庆山火”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6SJGvIk ?,yellow,0,0,1,80,
31,随缘16899999,08月29日 01:00,//weibo.com/2116094184/M3bRt8Vdy?refer_flag=1001030103_,摩托车正能量，最近被重庆山火救火消防和部队英雄和摩托车救援／救火英雄给感动到，感谢、感恩英雄们无私的奉献，爱人一生健康平安。?我也是摩托车爱好者，为摩托车英雄们是我们的正能量和榜样，为重庆山火的所有救援／救火英雄们点赞 L随缘16899999的微博视频 ?,None,0,1,0,128,
32,闲事鲜说,08月29日 01:00,//weibo.com/2712293721/M3bRo7whS?refer_flag=1001030103_,#时事新闻##时事热点#重庆山火救援挖掘机掉下百米山坡，救援人员抬临时担架接力送医 L闲事鲜说的微博视频 ?,None,0,0,0,54,
33,残恋少爷,08月29日 01:00,//weibo.com/2744070534/M3bRnBnvj?refer_flag=1001030103_,【#95后小伙瞒着家人到重庆救火#】8月21日晚22时30分，重庆市北碚区虎头山突发山火。山东籍95后小伙丁云骢得知后，马不停蹄上山参与救援。得知因山势陡峭，坡度最高达60度，很多物资通过车辆无法送达到灭火一线。丁云骢就骑着摩托车，在高温下，背着几十斤的物资，反复上下山将物资送达指定位置，即使出现中暑、呕吐，手脚抽筋等情况，他依旧坚持递送物资，直至山火扑灭，“要拿出咱山东大汉的气势，该出手时就出手。”为丁云骢点赞！  #男子重庆救火5天瘦6斤# @闪电新闻 #山东人在哪都不会袖手旁观#L闪电新闻的微博视频 收起d,ip,0,13,12,259,
34,缓慢的脚步g,08月29日 02:57,//weibo.com/2840370393/M3cD7y21Y?refer_flag=1001030103_,分享网易新闻《【央广网评】重庆山火扑救 勇毅逆行筑坚“墙” 》 O【央广网评】重庆山火扑救 勇毅逆行筑坚“墙” 来自@网易新闻客户端 #网易新闻# ?,None,0,1,0,75,
35,豆子丫丫v_8,08月29日 02:56,//weibo.com/2443354647/M3cCF8Rt3?refer_flag=1001030103_,分享网易新闻《【央广网评】重庆山火扑救 勇毅逆行筑坚“墙” 》 O【央广网评】重庆山火扑救 勇毅逆行筑坚“墙” 来自@网易新闻客户端 #网易新闻# ?,None,0,1,0,75,
36,娱综小玩家,08月29日 02:54,//weibo.com/1847300633/M3cBEv8Rl?refer_flag=1001030103_,被央视点名表扬的“重庆龙麻子”，最新动态再次震惊大众！在接连被媒体争相采访后，龙麻子似乎成了网红，无数人想找到合影，也有人希望他能把握这次走红的机会，开启新生活。但万万没想到，龙麻子的态度，却再次令网友肃然起敬！最新的采访里，女记者问龙麻子，现在你走红了，准备明天干什么呢？龙麻子憨厚的回答：我准备先明天继续送外卖。听到这话，女记者吃惊的问：你还要送外卖啊？龙麻子又回答：对啊，我今天先睡上一天一夜，明天才开始送。看到龙麻子的坦诚之后，有人觉得不可思议，毕竟在这个时代而言，龙麻子完全可以抓住这次走红的机会，毕竟他在凭借在重庆山火扑灭过程中的表现，完全可以开启新的人生。再加上，龙麻子个人的背景被扒出后，大家对龙麻子更是好感倍增，都希望能够帮助这个苦命的年轻人，但龙麻子却是一再的拒绝帮助。龙麻子，原名叫龙杰，重庆人，00后，爷爷奶奶爸爸去世，为了重庆山火救灾，他借钱买油也要冲上前线，后来就成了重庆的网红。但面对自己的突然走红，龙麻子表示不习惯，不适应，甚至说心慌。他说自己不喜欢面对镜头，也不太想受大家的关注，自己就是一个普通人，遇到重庆山火爆发时，根本没想那么多，他只是尽了一个重庆娃的本分。如今，看到大家希望帮助他，他说不必要，他有手有脚，还是希望送外卖，干干净净的挣钱，清清白白的做人。唯一让他有些担忧的是，现在有人打着他的旗号去骗人，这让他很气愤也很无奈。看到这样的龙麻子，突然觉得“网红”这2个字，有点是对他的侮辱，因为他是一个重情义的普通人，是一个顶天立地的英雄。 收起d,gold,18,19,18,644,
37,睡觉k-,08月29日 02:50,//weibo.com/7184413643/M3cAnz7cq?refer_flag=1001030103_,#思源驰援重庆山火#涓滴之水成海洋， 我在“思源驰援重庆山火”项目捐款成功！携手@蔡徐坤全球粉丝后援会，凝聚颗颗爱心点燃更多希望。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,88,
38,贤贤妈打,08月29日 02:48,//weibo.com/7336284014/M3czAzkW2?refer_flag=1001030103_,可爱又伟大的甘肃森林消防员们，重庆山火灭了，他们开心的笑了…… @新浪新闻 L可爱又伟大的甘肃森林消防员们，重庆山火灭了，他们开心的笑了…… ?,ip,0,0,0,72,
