Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
1453.0,中国日报,08月25日 09:41,//weibo.com/1663072851/M2Dz9bST1?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。@央视新闻 ?,47.0,60.0,427.0,104,
1619.0,央广网,08月25日 09:27,//weibo.com/1683472727/M2DtdkLR7?refer_flag=1001030103_,【#重庆巴南火场全面转入清理看守阶段#】记者从重庆市巴南区委宣传部了解到，经过重庆市、区两级救援力量86个小时全力扑救，截至8月25日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上；至此，巴南火场全面转入清理看守。#重庆巴南山火明火被扑灭# @央视新闻 ?,1.0,0.0,6.0,137,
1661.0,农民日报,08月25日 09:22,//weibo.com/2821669511/M2DruC4jl?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。 ?,3.0,1.0,21.0,99,
1679.0,半月谈,08月25日 09:21,//weibo.com/2318265821/M2DqLa9Jw?refer_flag=1001030103_,【#别拿高温灾害中的人民开玩笑#】川渝地区人们正经受的挑战，远比我们想象的要艰巨。高温、干旱、山火等灾害叠加在一起，已经给当地生产生活造成了巨大影响，再加上限电，当地人的处境，不是外地人坐在空调房内所能体会的。#高温下的重庆众生相#在突如其来的灾害面前，个体的苦难不是抽象的，而是真实地落在了人们的肩头，对这部分人来说，缺乏同理心的“玩梗”，并不能让人轻松下来，只会让身处困境的人更心痛。@中国青年报 O“川渝人民要哭了”，别拿天灾开玩笑 收起d,46.0,39.0,275.0,223,
1784.0,中国网直播,08月25日 10:55,//weibo.com/1884488621/M2E365m5Y?refer_flag=1001030103_,【这就是人民子弟兵！#解放军奋战山火休息时和衣而卧#】重庆突发山火，解放军战士奋战了一夜，休息时，他们和衣而卧，睡在了地上。L西陆强军号的微博视频 ?,0.0,4.0,79.0,75,
1957.0,半月谈,08月25日 10:30,//weibo.com/2318265821/M2DSUhl2g?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。@央视新闻 ?,53.0,74.0,417.0,104,
1959.0,中国青年报,08月25日 10:30,//weibo.com/1726918143/M2DSM27U9?refer_flag=1001030103_,#每个时代都有年轻人站出来#【“雄起”！#重庆摩托骑士多是90后#】本次重庆山火救援过程中，一批“摩托骑士”，尤为引人关注。据参与支援的摩托车店主王晓臣介绍，前往现场支援的摩友主力多是90后。22岁的徐瑞是首位自愿赶到现场的摩托车骑手，他表示，除了摩托车爱好者，还有许多自发前来的外卖骑手和快递小哥，“参加这次救援行动，最大的感悟就是，让我见识到了什么叫中国凝聚力。”（综合）O“多是90后”！重庆“摩托骑士”这一幕曝光...雄起！ L中国青年报的微博视频 收起d,59.0,44.0,560.0,232,
1961.0,环球时报,08月25日 10:30,//weibo.com/1974576991/M2DSL5Brx?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。（央视新闻  图自巴南区融媒体中心） ?,45.0,71.0,588.0,117,
2060.0,中国新闻周刊,08月25日 10:14,//weibo.com/1642512402/M2DMAt0GX?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。（央视新闻） ?,10.0,14.0,126.0,105,
2092.0,中国新闻网,08月25日 10:10,//weibo.com/1784473157/M2DL2625c?refer_flag=1001030103_,【#西南大学师生家门口救火#】#西南大学副教授帮灭山火挖隔离带#近日，重庆北碚区发生数起山火。眼看“家门口”有难，北碚的西南大学师生积极参与到了救火相关的志愿服务当中。西南大学国家重点实验室副教授肖波参与了挖隔离带的志愿服务，体育学院办公室主任严瑞骑着他的踏板摩托参与了物资运输的志愿服务……该校相关负责人表示，学校不少老师都是自发参与了救火一线服务。（上游新闻） 收起d,27.0,21.0,221.0,186,
